id,title,url,date,medium,source_host,attribution_type,confidence,tier,status,raw_path,processed_path,notes
8c7092bf0e,Modern Wisdom #981 - Alpha School: A New Approach To Education,https://www.youtube.com/watch?v=enXA7xepu2U,2025-08-16,podcast/video,youtube.com,spoken-transcript-candidate,0.85,A-candidate,needs speaker-labeled full transcript,,,Modern Wisdom episode; multiple transcript mirrors discovered.
977ec34df4,Singju Post transcript mirror: Modern Wisdom #981,https://singjupost.com/alpha-school-a-new-approach-to-education-mackenzie-price-transcript/,2025-08-18,transcript,singjupost.com,spoken-transcript,0.80,A,cleaned and speaker-labeled,raw/priority_sources/977ec34df4.html,transcripts/modern-wisdom-981/modern-wisdom-981.full-speaker-labeled.md,Partial/free page has labeled MacKenzie answers; may not be full transcript. Cleaned output includes 64 turns / 32 MacKenzie turns / ~11k MacKenzie words.
c55564fd5e,Podscripts transcript mirror: Modern Wisdom #981,https://podscripts.co/podcasts/modern-wisdom/981-mackenzie-price-alpha-school-a-new-approach-to-education,2025-08-16,transcript,podscripts.co,spoken-transcript-candidate,0.75,A-candidate,fetched,raw/priority_sources/c55564fd5e.html,processed/c55564fd5e.txt,Fuller transcript but weak/no speaker labels; useful after diarization/cleanup.
a451daa757,Johnathan Bi transcript: Interview with MacKenzie Price on AI Learning,https://www.johnathanbi.com/p/transcript-of-interview-with-mackenzie-price,2026-01-09,interview transcript,johnathanbi.com,spoken-transcript-candidate,0.70,A-candidate,paywalled preview fetched,raw/priority_sources/a451daa757.html,processed/a451daa757.txt,Likely high-value but paywalled; needs approved access/export.
0b4563df1d,2 Hour Learning founder page,https://2hourlearning.com/founder/,,profile/page,2hourlearning.com,profile-about,0.55,B,fetched via web_fetch; curl 403,,,"Biography/context, not her voice."
e67fa33dad,Alpha Future of School live stream page,https://alpha.school/the-future-of-school-live-stream/,,event/live stream,alpha.school,event-description,0.65,B,in llms corpus,,,Names MacKenzie as co-founder/host; need video/transcript if available.
5d6cacc000,New York Times Hard Fork: A.I. School Is in Session,https://www.nytimes.com/2025/09/05/podcasts/hardfork-education-alpha-school.html,2025-09-05,podcast,nytimes.com,spoken-transcript-candidate,0.75,A-candidate,discovered,,,Alpha corpus says featuring MacKenzie; likely needs transcript access.
0a646511d7,South Florida Business Journal profile,https://www.bizjournals.com/southflorida/news/2025/07/25/alpha-school-model-creates-future-ready-students.html,2025-07-25,article/interview,bizjournals.com,quoted/profile,0.60,B,discovered,,,Potential direct quotes; likely paywalled.
,Future of Education Podcast S2E307 MacKenzie Advice Column,https://rss.art19.com/future-of-education,,,,,,Tier A,cleaned and added to master corpus v0.1,,transcripts/future-of-education-podcast/cleaned/s2e307.mackenzie-only.md,Audio-backed Whisper transcript; ~3050 MacKenzie words; needs spot-check before final lock.
,Future of Education Podcast S2E308 MacKenzie Advice Column,https://rss.art19.com/future-of-education,,,,,,Tier A,cleaned and added to master corpus v0.1,,transcripts/future-of-education-podcast/cleaned/s2e308.mackenzie-only.md,Audio-backed Whisper transcript; ~2491 MacKenzie words; needs spot-check before final lock.
